ICD9	ICD9.String	PheCode	Phenotype	ICD9Nodots
005.3	Food poisoning due to other Clostridia	008.5	Bacterial enteritis	0053
005.4	Food poisoning due to Vibrio parahaemolyticus	008.5	Bacterial enteritis	0054
005.8	Other bacterial food poisoning	008.5	Bacterial enteritis	0058
005.81	Food poisoning due to Vibrio vulnificus	008.5	Bacterial enteritis	00581
005.89	Other bacterial food poisoning	008.5	Bacterial enteritis	00589
005.9	Food poisoning NOS	008	Intestinal infection	0059
006	Amebiasis	008	Intestinal infection	006
006.0	Acute amebic dysentery without mention of abscess	008	Intestinal infection	0060
006.1	Chronic intestinal amebiasis without mention of abscess	008.7	Intestinal infection due to protozoa	0061
006.2	Amebic nondysenteric colitis	008	Intestinal infection	0062
006.3	Amebic liver abscess	008	Intestinal infection	0063
006.4	Amebic lung abscess	008	Intestinal infection	0064
006.5	Amebic brain abscess	008	Intestinal infection	0065
006.6	Amebic skin ulceration	008	Intestinal infection	0066
006.8	Amebic infection of other sites	008	Intestinal infection	0068
006.9	Amebiasis NOS	008	Intestinal infection	0069
007	Other protozoal intestinal diseases	008	Intestinal infection	007
007.0	Balantidiasis	008.7	Intestinal infection due to protozoa	0070
007.1	Giardiasis	008.7	Intestinal infection due to protozoa	0071
007.2	Coccidiosis	008	Intestinal infection	0072
007.3	Intestinal trichomoniasis	008	Intestinal infection	0073
007.4	Cryptosporidiosis	008.7	Intestinal infection due to protozoa	0074
007.5	Cyclosporiasis	008	Intestinal infection	0075
007.8	Other specified protozoal intestinal diseases	008.7	Intestinal infection due to protozoa	0078
007.9	Unspecified protozoal intestinal disease	008	Intestinal infection	0079
008	Intestinal infections due to other organisms	008	Intestinal infection	008
008.0	Intestinal infection due to escherichia coli [E. coli]	008.51	Intestinal e.coli	0080
008.00	Intestinal infection due to unspecified E. coli	008.51	Intestinal e.coli	00800
008.01	Intestinal infection due to enteropathogenic E. coli	008.51	Intestinal e.coli	00801
008.02	Intestinal infection due to enterotoxigenic E. coli	008.51	Intestinal e.coli	00802
008.03	Intestinal infection due to enteroinvasive E. coli	008.51	Intestinal e.coli	00803
008.04	Intestinal infection due to enterohemorrhagic E. coli	008.51	Intestinal e.coli	00804
008.09	Other intestinal E. coli infections	008.51	Intestinal e.coli	00809
008.1	Intestinal infection due to arizona group of paracolon bacilli	008.5	Bacterial enteritis	0081
008.2	Intestinal infection due to aerobacter aerogenes	008.5	Bacterial enteritis	0082
008.3	Intestinal infection due to proteus (mirabilis) (morganii)	008.5	Bacterial enteritis	0083
008.4	Intestinal infection due to other specified bacteria	008.5	Bacterial enteritis	0084
008.41	Intestinal infection due to staphylococcus	008.5	Bacterial enteritis	00841
008.42	Intestinal infection due to pseudomonas	008.5	Bacterial enteritis	00842
008.43	Intestinal infection due to campylobacter	008.5	Bacterial enteritis	00843
008.44	Intestinal infection due to yersinia enterocolitica	008.5	Bacterial enteritis	00844
008.45	Intestinal infection due to clostridium difficile	008.52	Intestinal infection due to C. difficile	00845
008.46	Intestinal infection due to other anaerobes	008.5	Bacterial enteritis	00846
008.47	Intestinal infection due to other gram-negative bacteria	008.5	Bacterial enteritis	00847
008.49	Intestinal infection due to other specified bacteria	008.5	Bacterial enteritis	00849
008.5	Bacterial enteritis, unspecified	008.5	Bacterial enteritis	0085
008.6	Enteritis due to specified virus	008.6	Viral Enteritis	0086
008.61	Enteritis due to rotavirus	008.6	Viral Enteritis	00861
008.62	Enteritis due to adenovirus	008.6	Viral Enteritis	00862
008.63	Enteritis due to norwalk virus	008.6	Viral Enteritis	00863
008.64	Enteritis due to other small round viruses [SRV's]	008.6	Viral Enteritis	00864
008.65	Enteritis due to calcivirus	008.6	Viral Enteritis	00865
008.66	Enteritis due to astrovirus	008.6	Viral Enteritis	00866
008.67	Enteritis due to enterovirus NEC	008.6	Viral Enteritis	00867
008.69	Other viral enteritis	008.6	Viral Enteritis	00869
008.8	Viral enteritis NOS	008.6	Viral Enteritis	0088
009	Ill-defined intestinal infections	008	Intestinal infection	009
009.0	Infectious colitis, enteritis, and gastroenteritis	008	Intestinal infection	0090
009.1	Colitis, enteritis, and gastroenteritis of presumed infectious origin	008	Intestinal infection	0091
009.2	Infectious diarrhea	008	Intestinal infection	0092
009.3	Diarrhea of presumed infectious origin	008	Intestinal infection	0093
010	Primary tuberculous infection	010	Tuberculosis	010
010.0	Primary tuberculous infection	010	Tuberculosis	0100
010.00	Primary tuberculous infection, unspecified examination	010	Tuberculosis	01000
010.01	Primary tuberculous infection, bacteriological or histological examination not done	010	Tuberculosis	01001
010.02	Primary tuberculous infection, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01002
010.03	Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01003
010.04	Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01004
010.05	Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01005
010.06	Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01006
010.1	Tuberculous pleurisy in primary progressive tuberculosis	010	Tuberculosis	0101
010.10	Tuberculous pleurisy in primary progressive tuberculosis, unspecified examination	010	Tuberculosis	01010
010.11	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01011
010.12	Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination results unknown (at present)	010	Tuberculosis	01012
010.13	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01013
010.14	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01014
010.15	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01015
010.16	Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01016
010.8	Other primary progressive tuberculosis	010	Tuberculosis	0108
010.80	Other primary progressive tuberculosis, unspecified examination	010	Tuberculosis	01080
010.81	Other primary progressive tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01081
010.82	Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01082
010.83	Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01083
010.84	Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01084
010.85	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01085
010.86	Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01086
010.9	Primary tuberculous infection, unspecified type	010	Tuberculosis	0109
010.90	Primary tuberculous infection, unspecified type, unspecified examination	010	Tuberculosis	01090
010.91	Primary tuberculous infection, unspecified type, bacteriological or histological examination not done	010	Tuberculosis	01091
010.92	Primary tuberculous infection, unspecified type, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01092
010.93	Primary tuberculous infection, unspecified type, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01093
010.94	Primary tuberculous infection, unspecified type, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01094
010.95	Primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01095
010.96	Primary tuberculous infection, unspecified type, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01096
011	Pulmonary tuberculosis	010	Tuberculosis	011
011.0	Tuberculosis of lung, infiltrative	010	Tuberculosis	0110
011.00	Tuberculosis of lung, infiltrative, unspecified examination	010	Tuberculosis	01100
011.01	Tuberculosis of lung, infiltrative, bacteriological or histological examination not done	010	Tuberculosis	01101
011.02	Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01102
011.03	Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01103
011.04	Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01104
011.05	Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01105
011.06	Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01106
011.1	Tuberculosis of lung, nodular	010	Tuberculosis	0111
011.10	Tuberculosis of lung, nodular, unspecified examination	010	Tuberculosis	01110
011.11	Tuberculosis of lung, nodular, bacteriological or histological examination not done	010	Tuberculosis	01111
011.12	Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01112
011.13	Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01113
011.14	Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01114
011.15	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01115
011.16	Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01116
011.2	Tuberculosis of lung with cavitation	010	Tuberculosis	0112
011.20	Tuberculosis of lung with cavitation, unspecified examination	010	Tuberculosis	01120
011.21	Tuberculosis of lung with cavitation, bacteriological or histological examination not done	010	Tuberculosis	01121
011.22	Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01122
011.23	Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01123
011.24	Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01124
011.25	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01125
011.26	Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01126
011.3	Tuberculosis of bronchus	010	Tuberculosis	0113
011.30	Tuberculosis of bronchus, unspecified examination	010	Tuberculosis	01130
011.31	Tuberculosis of bronchus, bacteriological or histological examination not done	010	Tuberculosis	01131
011.32	Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01132
011.33	Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01133
011.34	Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture	010	Tuberculosis	01134
011.35	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01135
011.36	Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01136
011.4	Tuberculous fibrosis of lung	010	Tuberculosis	0114
011.40	Tuberculous fibrosis of lung, unspecified examination	010	Tuberculosis	01140
011.41	Tuberculous fibrosis of lung, bacteriological or histological examination not done	010	Tuberculosis	01141
011.42	Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01142
011.43	Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01143
011.44	Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01144
011.45	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01145
011.46	Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01146
011.5	Tuberculous bronchiectasis	010	Tuberculosis	0115
011.50	Tuberculous bronchiectasis, unspecified examination	010	Tuberculosis	01150
011.51	Tuberculous bronchiectasis, bacteriological or histological examination not done	010	Tuberculosis	01151
011.52	Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01152
011.53	Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01153
011.54	Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01154
011.55	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01155
011.56	Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01156
011.6	Tuberculous pneumonia [any form]	010	Tuberculosis	0116
011.60	Tuberculous pneumonia [any form], unspecified examination	010	Tuberculosis	01160
011.61	Tuberculous pneumonia [any form], bacteriological or histological examination not done	010	Tuberculosis	01161
011.62	Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)	010	Tuberculosis	01162
011.63	Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01163
011.64	Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01164
011.65	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01165
011.66	Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)	010	Tuberculosis	01166
011.7	Tuberculous pneumothorax	010	Tuberculosis	0117
011.70	Tuberculous pneumothorax, unspecified examination	010	Tuberculosis	01170
011.71	Tuberculous pneumothorax, bacteriological or histological examination not done	010	Tuberculosis	01171
011.72	Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01172
011.73	Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01173
011.74	Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01174
011.75	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01175
011.76	Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01176
011.8	Other specified pulmonary tuberculosis	010	Tuberculosis	0118
011.80	Other specified pulmonary tuberculosis, unspecified examination	010	Tuberculosis	01180
011.81	Other specified pulmonary tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01181
011.82	Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01182
011.83	Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01183
011.84	Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01184
011.85	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01185
011.86	Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01186
011.9	Unspecified pulmonary tuberculosis	010	Tuberculosis	0119
011.90	Unspecified pulmonary tuberculosis, unspecified examination	010	Tuberculosis	01190
011.91	Unspecified pulmonary tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01191
011.92	Unspecified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01192
011.93	Unspecified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01193
011.94	Unspecified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01194
011.95	Unspecified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01195
011.96	Unspecified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01196
012	Other respiratory tuberculosis	010	Tuberculosis	012
012.0	Tuberculous pleurisy	010	Tuberculosis	0120
012.00	Tuberculous pleurisy, unspecified examination	010	Tuberculosis	01200
012.01	Tuberculous pleurisy, bacteriological or histological examination not done	010	Tuberculosis	01201
012.02	Tuberculous pleurisy, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01202
012.03	Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01203
012.04	Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01204
012.05	Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01205
012.06	Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01206
012.1	Tuberculosis of intrathoracic lymph nodes	010	Tuberculosis	0121
012.10	Tuberculosis of intrathoracic lymph nodes, unspecified examination	010	Tuberculosis	01210
012.11	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done	010	Tuberculosis	01211
012.12	Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01212
012.13	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01213
012.14	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01214
012.15	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01215
012.16	Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01216
012.2	Isolated tracheal or bronchial tuberculosis	010	Tuberculosis	0122
012.20	Isolated tracheal or bronchial tuberculosis, unspecified examination	010	Tuberculosis	01220
012.21	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01221
012.22	Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01222
012.23	Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01223
012.24	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01224
012.25	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01225
012.26	Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01226
012.3	Tuberculous laryngitis	010	Tuberculosis	0123
012.30	Tuberculous laryngitis, unspecified examination	010	Tuberculosis	01230
012.31	Tuberculous laryngitis, bacteriological or histological examination not done	010	Tuberculosis	01231
012.32	Tuberculous laryngitis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01232
012.33	Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01233
012.34	Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01234
012.35	Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01235
012.36	Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01236
012.8	Other specified respiratory tuberculosis	010	Tuberculosis	0128
012.80	Other specified respiratory tuberculosis, unspecified examination	010	Tuberculosis	01280
012.81	Other specified respiratory tuberculosis, bacteriological or histological examination not done	010	Tuberculosis	01281
012.82	Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01282
012.83	Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01283
012.84	Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01284
012.85	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01285
012.86	Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01286
013	Tuberculosis of meninges and central nervous system	010	Tuberculosis	013
013.0	Tuberculous meningitis	010	Tuberculosis	0130
013.00	Tuberculous meningitis unspecified examination	010	Tuberculosis	01300
013.01	Tuberculous meningitis, bacteriological or histological examination not done	010	Tuberculosis	01301
013.02	Tuberculous meningitis, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01302
013.03	Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01303
013.04	Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01304
013.05	Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01305
013.06	Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01306
013.1	Tuberculoma of meninges	010	Tuberculosis	0131
013.10	Tuberculoma of meninges, unspecified examination	010	Tuberculosis	01310
013.11	Tuberculoma of meninges, bacteriological or histological examination not done	010	Tuberculosis	01311
013.12	Tuberculoma of meninges, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01312
013.13	Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01313
013.14	Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01314
013.15	Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01315
013.16	Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01316
013.2	Tuberculoma of brain	010	Tuberculosis	0132
013.20	Tuberculoma of brain, unspecified examination	010	Tuberculosis	01320
013.21	Tuberculoma of brain, bacteriological or histological examination not done	010	Tuberculosis	01321
013.22	Tuberculoma of brain, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01322
013.23	Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01323
013.24	Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01324
013.25	Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01325
013.26	Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01326
013.3	Tuberculous abscess of brain	010	Tuberculosis	0133
013.30	Tuberculous abscess of brain, unspecified examination	010	Tuberculosis	01330
013.31	Tuberculous abscess of brain, bacteriological or histological examination not done	010	Tuberculosis	01331
013.32	Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01332
013.33	Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01333
013.34	Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01334
013.35	Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01335
013.36	Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01336
013.4	Tuberculoma of spinal cord	010	Tuberculosis	0134
013.40	Tuberculoma of spinal cord, unspecified examination	010	Tuberculosis	01340
013.41	Tuberculoma of spinal cord, bacteriological or histological examination not done	010	Tuberculosis	01341
013.42	Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01342
013.43	Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01343
013.44	Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01344
013.45	Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01345
013.46	Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]	010	Tuberculosis	01346
013.5	Tuberculous abscess of spinal cord	010	Tuberculosis	0135
013.50	Tuberculous abscess of spinal cord, unspecified examination	010	Tuberculosis	01350
013.51	Tuberculous abscess of spinal cord, bacteriological or histological examination not done	010	Tuberculosis	01351
013.52	Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)	010	Tuberculosis	01352
013.53	Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy	010	Tuberculosis	01353
013.54	Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture	010	Tuberculosis	01354
013.55	Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically	010	Tuberculosis	01355
